,,dynamicHyperparameters,,,,,,,,staticHyperparameters,,,,,,,,,,,,,otherHyperparameters,,pretrainingResults,,,,,adversarialResults_final,,,,,adversarialResults _peak,,,,adversarialTime,,insights,
run_description,trial_id,adv_lr,dis_lambda,gen_d_model,dis_d_model,gen_num_encoder_layers,roll_num,gen_dropout,batch_size,dataset_name,properties,max_len,gen_epochs,dis_epochs,adv_epochs,gen_max_lr,gen_nhead,dis_nhead,gen_dim_feedforward,dis_feed_forward,dis_num_encoder_layers,dis_dropout,dis_wgan,dis_minibatch,gen_best_val_loss,gen_best_train_loss,gen_best_val_epoch,dis_best_val_acc,dis_best_epoch,adv_final_mean_prop,adv_final_validity,adv_final_uniqueness,adv_final_novelty,adv_final_diversity,adv_peak_mean_prop,adv_peak_prop_epoch,adv_peak_uniqueness,adv_peak_uniq_epoch,total_time,adv_time_per_epoch,gen_pg_loss_trend,keyObservations
,1,0.000041,0.259,96,80,4,12,0.22,64,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,0.372709184885025,0.348764389753342,146,0.564493775367737,9,0.832,0.92339,0.22762,0.80456,0.73177,0.833,95,0.90989,2,29.2,0.292,,mode collapse
,2,0.000064,0.557,96,100,5,4,0.193,64,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,0.376815587282181,0.319401383399963,145,0.522884905338287,8,0.839,0.98337,0.12506,0.64344,0.78044,0.849,96,0.92965,1,11.5,0.115,,mode collapse
,3,0.000019,0.706,128,120,4,4,0.083,128,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,0.340349793434143,0.266107946634293,94,0.552011072635651,1,0.846,0.97656,0.31587,0.91503,0.70168,0.851,98,0.9332,1,25.6,0.256,,"mode collapse, but slightly slower collapse"
,4,0.000271,0.644,96,100,5,12,0.054,32,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,0.372947126626968,0.200937494635582,32,0.553867399692535,1,0.625,0.953,0.9045,0.68574,0.98428,0.881,39,0.84201,1,34.5,0.345,,"mode collapse, partial recovery by end"
,5,0.00003,0.543,128,100,4,4,0.239,128,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,0.335835129022598,0.34558179974556,146,0.552011072635651,1,0.704,0.188,0.27614,0.90291,0.54984,0.852,76,0.89927,1,33.9,0.339,,"mode collapse, also loss of validity not juts uniqueness at end"
,6,0.000136,0.225,160,100,4,4,0.112,32,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,0.375624299049377,0.233006447553635,37,0.529005527496338,7,0.97,0.28425,0.08707,0.69697,0.4166,0.97,100,0.84358,1,12.7,0.127,,mode collapse
,7,0.000256,0.776,96,120,5,4,0.064,128,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,0.337184548377991,0.255500376224518,65,0.556171953678131,2,0.719,0.9191,0.66685,0.99877,0.41056,0.818,8,0.99782,28,42.2,0.422,,"uniqueness in waves, overall degradation but not mode collapse"
,8,0.000256,0.636,96,120,3,8,0.176,64,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,0.379767417907715,0.348208636045456,135,0.536754488945007,7,0.902,0.98564,0.16901,0.86838,0.65861,0.906,85,0.86151,1,17.6,0.176,,mode collapse
,9,0.000042,0.375,128,120,5,4,0.118,128,comb_1,synthesizability,120,150,10,100,0.0008,4,5,1024,200,4,0.25,False,False,0.335596054792404,0.272826969623566,78,0.447988897562027,1,0.67,0.8813,0.18044,0.92552,0.53881,0.886,83,0.92127,1,44.4,0.444,,mode collapse
