GPU available: False, used: False
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
Pre-train Generator...






Epoch 0:  85%|████████▌ | 135/158 [00:12<00:02, 10.68it/s, loss=2.74, v_num=mqby]
Epoch 0:  98%|█████████▊| 155/158 [00:14<00:00, 10.91it/s, loss=2.46, v_num=mqby]







Epoch 1:  89%|████████▊ | 140/158 [00:13<00:01, 10.47it/s, loss=1.17, v_num=mqby, pre_gen/val_loss=2.150, pre_gen/train_loss=3.290]







Epoch 2:  98%|█████████▊| 155/158 [00:14<00:00, 11.12it/s, loss=0.921, v_num=mqby, pre_gen/val_loss=1.090, pre_gen/train_loss=1.480]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]







Epoch 3:  95%|█████████▍| 150/158 [00:13<00:00, 11.35it/s, loss=0.805, v_num=mqby, pre_gen/val_loss=0.880, pre_gen/train_loss=0.992]








Epoch 5:   0%|          | 0/158 [00:00<00:00, 2259.86it/s, loss=0.759, v_num=mqby, pre_gen/val_loss=0.733, pre_gen/train_loss=0.840]






Epoch 5:  98%|█████████▊| 155/158 [00:13<00:00, 11.41it/s, loss=0.719, v_num=mqby, pre_gen/val_loss=0.733, pre_gen/train_loss=0.771]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]







Epoch 6:  95%|█████████▍| 150/158 [00:13<00:00, 11.36it/s, loss=0.692, v_num=mqby, pre_gen/val_loss=0.694, pre_gen/train_loss=0.730]







Epoch 7:  98%|█████████▊| 155/158 [00:14<00:00, 10.78it/s, loss=0.675, v_num=mqby, pre_gen/val_loss=0.677, pre_gen/train_loss=0.700]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]






Epoch 8:  98%|█████████▊| 155/158 [00:13<00:00, 11.41it/s, loss=0.663, v_num=mqby, pre_gen/val_loss=0.662, pre_gen/train_loss=0.679]







Epoch 9:  98%|█████████▊| 155/158 [00:14<00:00, 10.62it/s, loss=0.65, v_num=mqby, pre_gen/val_loss=0.678, pre_gen/train_loss=0.664]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]






Epoch 10:  98%|█████████▊| 155/158 [00:13<00:00, 11.52it/s, loss=0.643, v_num=mqby, pre_gen/val_loss=0.638, pre_gen/train_loss=0.653]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]














Epoch 12:  98%|█████████▊| 155/158 [00:14<00:00, 10.87it/s, loss=0.633, v_num=mqby, pre_gen/val_loss=0.635, pre_gen/train_loss=0.638]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]







Epoch 13:  98%|█████████▊| 155/158 [00:15<00:00, 10.38it/s, loss=0.631, v_num=mqby, pre_gen/val_loss=0.622, pre_gen/train_loss=0.631]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]







Epoch 14:  98%|█████████▊| 155/158 [00:15<00:00, 10.33it/s, loss=0.626, v_num=mqby, pre_gen/val_loss=0.621, pre_gen/train_loss=0.627]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]














Epoch 16:  92%|█████████▏| 145/158 [00:12<00:01, 11.50it/s, loss=0.617, v_num=mqby, pre_gen/val_loss=0.622, pre_gen/train_loss=0.618]







Epoch 17:  98%|█████████▊| 155/158 [00:14<00:00, 10.79it/s, loss=0.612, v_num=mqby, pre_gen/val_loss=0.611, pre_gen/train_loss=0.615]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]







Epoch 18:  98%|█████████▊| 155/158 [00:14<00:00, 10.59it/s, loss=0.61, v_num=mqby, pre_gen/val_loss=0.604, pre_gen/train_loss=0.612]







Epoch 19:  98%|█████████▊| 155/158 [00:15<00:00, 10.38it/s, loss=0.611, v_num=mqby, pre_gen/val_loss=0.605, pre_gen/train_loss=0.609]







Epoch 20:  95%|█████████▍| 150/158 [00:13<00:00, 11.54it/s, loss=0.603, v_num=mqby, pre_gen/val_loss=0.660, pre_gen/train_loss=0.607]







Epoch 21:  98%|█████████▊| 155/158 [00:14<00:00, 10.58it/s, loss=0.602, v_num=mqby, pre_gen/val_loss=0.595, pre_gen/train_loss=0.604]







Epoch 22:  98%|█████████▊| 155/158 [00:14<00:00, 10.63it/s, loss=0.6, v_num=mqby, pre_gen/val_loss=0.597, pre_gen/train_loss=0.601]






Epoch 23:  98%|█████████▊| 155/158 [00:13<00:00, 11.29it/s, loss=0.598, v_num=mqby, pre_gen/val_loss=0.595, pre_gen/train_loss=0.597]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]














Epoch 25:  98%|█████████▊| 155/158 [00:13<00:00, 11.45it/s, loss=0.593, v_num=mqby, pre_gen/val_loss=0.592, pre_gen/train_loss=0.594]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]







Epoch 26:  98%|█████████▊| 155/158 [00:15<00:00, 10.09it/s, loss=0.592, v_num=mqby, pre_gen/val_loss=0.588, pre_gen/train_loss=0.593]














Epoch 28:  98%|█████████▊| 155/158 [00:13<00:00, 11.19it/s, loss=0.587, v_num=mqby, pre_gen/val_loss=0.588, pre_gen/train_loss=0.589]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]














Epoch 30:  98%|█████████▊| 155/158 [00:13<00:00, 11.22it/s, loss=0.589, v_num=mqby, pre_gen/val_loss=0.585, pre_gen/train_loss=0.586]
















Epoch 33:   0%|          | 0/158 [00:00<00:00, 2445.66it/s, loss=0.586, v_num=mqby, pre_gen/val_loss=0.581, pre_gen/train_loss=0.583]






Epoch 33:  98%|█████████▊| 155/158 [00:13<00:00, 11.63it/s, loss=0.582, v_num=mqby, pre_gen/val_loss=0.581, pre_gen/train_loss=0.582]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]






Epoch 34:  98%|█████████▊| 155/158 [00:13<00:00, 11.76it/s, loss=0.58, v_num=mqby, pre_gen/val_loss=0.579, pre_gen/train_loss=0.581]







Epoch 35:  98%|█████████▊| 155/158 [00:14<00:00, 10.70it/s, loss=0.579, v_num=mqby, pre_gen/val_loss=0.579, pre_gen/train_loss=0.579]
Validating: 100%|██████████| 4/4 [00:00<00:00,  5.37it/s]






Epoch 36:  98%|█████████▊| 155/158 [00:13<00:00, 11.21it/s, loss=0.579, v_num=mqby, pre_gen/val_loss=0.578, pre_gen/train_loss=0.578]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]














Epoch 38:  98%|█████████▊| 155/158 [00:14<00:00, 11.02it/s, loss=0.576, v_num=mqby, pre_gen/val_loss=0.578, pre_gen/train_loss=0.576]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]






















Epoch 41:  98%|█████████▊| 155/158 [00:13<00:00, 11.19it/s, loss=0.573, v_num=mqby, pre_gen/val_loss=0.579, pre_gen/train_loss=0.571]
Validating: 100%|██████████| 4/4 [00:00<00:00,  5.37it/s]






Epoch 42:  98%|█████████▊| 155/158 [00:13<00:00, 11.58it/s, loss=0.571, v_num=mqby, pre_gen/val_loss=0.575, pre_gen/train_loss=0.571]
Validating:   0%|          | 0/4 [00:00<?, ?it/s]















Epoch 45:   0%|          | 0/158 [00:00<00:00, 2388.56it/s, loss=0.571, v_num=mqby, pre_gen/val_loss=0.573, pre_gen/train_loss=0.568]






Epoch 45:  98%|█████████▊| 155/158 [00:13<00:00, 11.49it/s, loss=0.57, v_num=mqby, pre_gen/val_loss=0.573, pre_gen/train_loss=0.567]





























Epoch 49:  95%|█████████▍| 150/158 [00:13<00:00, 10.91it/s, loss=0.566, v_num=mqby, pre_gen/val_loss=0.577, pre_gen/train_loss=0.562]
Epoch 49: 100%|██████████| 158/158 [00:15<00:00, 10.53it/s, loss=0.566, v_num=mqby, pre_gen/val_loss=0.574, pre_gen/train_loss=0.562]
Generator Pre-train Time:[1m 0.21[22m hours
  4%|▍         | 6/156 [00:03<01:25,  1.74it/s]































100%|██████████| 156/156 [01:04<00:00,  2.40it/s]
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     8911    (89.25%)
Uniqueness:   8431    (94.61%)
Novelty:      7741    (91.82%)
Diversity:    0.88
Samples of Novel SMILES:
CC12C3CC4CCC4C1C32
CC(C)C1CCCC1C(C)(C)C
CCC1C2C(C(C)C)C3(CC3)C2C1(C)C
CCC(CC)C(C)C
CC1CC2CC3(C4CC4)CC3CC12
2025-08-16 23:45:39,620 INFO [eval] {"step": 0, "prop/validity": 0.8925280448717948, "prop/uniqueness": 0.946133991695657, "prop/novelty": 0.9181591744751513, "prop/diversity": 0.8802020154965184, "prop/vol_nhoc_mean": 0.3433090843521232, "prop/vol_nhoc_std": 0.23043921811920848, "prop/vol_nhoc_min": 0.009193705367288087, "prop/vol_nhoc_max": 0.9475883412254894, "prop/objective": 0.68868787594937}
[vol_nhoc]: [Mean: 0.343   STD: 0.230   MIN: 0.009   MAX: 0.948]
********************************************************************************
GPU available: False, used: False
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
Pre-train Discriminator...






Epoch 1:   2%|▏         | 7/314 [00:00<00:19, 15.71it/s, loss=0.695, v_num=mqby, pre_dis/val_loss=0.699, pre_dis/val_acc=0.498, pre_dis/train_loss=0.702, pre_dis/train_acc=0.498]














Epoch 2:  90%|████████▉ | 282/314 [00:14<00:01, 19.81it/s, loss=0.682, v_num=mqby, pre_dis/val_loss=0.702, pre_dis/val_acc=0.501, pre_dis/train_loss=0.699, pre_dis/train_acc=0.500]






Epoch 3:  84%|████████▍ | 265/314 [00:11<00:02, 22.49it/s, loss=0.698, v_num=mqby, pre_dis/val_loss=0.738, pre_dis/val_acc=0.502, pre_dis/train_loss=0.699, pre_dis/train_acc=0.504]







Epoch 4:  83%|████████▎ | 262/314 [00:12<00:02, 20.86it/s, loss=0.695, v_num=mqby, pre_dis/val_loss=0.694, pre_dis/val_acc=0.515, pre_dis/train_loss=0.697, pre_dis/train_acc=0.510]






































Epoch 9: 100%|██████████| 314/314 [00:15<00:00, 20.34it/s, loss=0.697, v_num=mqby, pre_dis/val_loss=0.694, pre_dis/val_acc=0.524, pre_dis/train_loss=0.694, pre_dis/train_acc=0.515]
Discriminator Pre-train Time:[1m 0.38[22m hours
Monitored metric pre_dis/val_loss did not improve in the last 5 records. Best score: 0.693. Signaling Trainer to stop.
GPU available: False, used: False
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
Adversarial Training...
[1mEpoch 1[22m / 100, G_STEP 1 / 1, PG_Loss: -23.892
Generating 10000 samples for evaluation...
































